text,label
"President Trump defended White House chief of staff Susie Wiles in an exclusive interview with The Post Tuesday — saying she was right to tell Vanity Fair he has an ""alcoholic's personality"" and that he has full faith in Wiles to continue in her role. Trump, 79, reiterated that he avoids alcohol, saying in the interview he has a ""possessive and addictive type personality"" and that he wasn't offended by her word choice.",Right
"President Donald Trump on Tuesday ordered a total blockade of oil tankers entering or leaving Venezuela, declaring the Nicolás Maduro regime a foreign terrorist organization and accusing it of using stolen U.S. assets to finance terrorism, trafficking and other criminal activity.",Right
"A moderate House Republican is raging against his own party after negotiations over a vote on extending COVID-19-era Obamacare subsidies fell apart. Rep. Mike Lawler, R-N.Y., told reporters Tuesday morning that it was ""idiotic"" and ""political malpractice"" to not hold an ""up-or-down vote"" on the subsidies, which are set to expire at the end of this year. He also turned his ire on House Minority Leader Hakeem Jeffries, D-N.Y., who he accused of rejecting moderate Republicans' compromise solutions in order to keep the issue alive as a political cudgel.",Right
"The House won't vote this week on an extension to the Affordable Care Act's enhanced premium subsidies, which lapse at the end of the year. An 11th-hour effort by moderate Republicans to put an extension on the floor for a vote failed Tuesday night, when the House Rules Committee blocked several of the amendments they were seeking to the attach to a GOP health care plan released last week. The GOP plan does not include an extension. The committee advanced the bill to the floor late Tuesday. A vote is expected Wednesday.",Left
"President Donald Trump has ordered a blockade of Venezuela, targeting sanctioned oil tankers in an escalation of his administration's campaign to oust Venezuelan President Nicolas Maduro.",Left
"On the morning of November 4, 2025, an off-year Election Day, White House chief of staff Susie Wiles was meeting in the Oval Office with the president and his top advisers, men she calls her ""core team"": Vice President JD Vance, Secretary of State Marco Rubio, and Stephen Miller, deputy chief of staff. The agenda was twofold: ending the congressional filibuster and forcing Venezuelan president Nicolás Maduro from power. As she related it later, President Donald Trump was holding forth on the filibuster when Wiles stood up and started for the door. Trump eyed her. ""Is this an emergency, that you have to leave?"" he demanded. It was nothing of the sort—but Wiles left Trump guessing. She replied: ""It's an emergency. It doesn't involve you."" With that, according to Wiles, she departed the Oval.",Left
"President Trump on Tuesday ordered a ""total and complete blockade"" of all sanctioned oil tankers entering and leaving Venezuela, in a major escalation of his pressure campaign against the country's leader, Nicolás Maduro.""",Center
"President Trump and his Cabinet members on Tuesday defended White House chief of staff Susie Wiles after Vanity Fair published what she described as a ""disingenuously framed hit piece."" Wiles sat for 11 interviews with the outlet to describe her role as the first female chief of staff and the intricacies of Trump's first year back in office.",Center
"Speaker Mike Johnson (R-La.) said there will not be an amendment vote on extending expiring ObamaCare enhanced subsidies as part of a House Republican health care bill this week, in a move that is infuriating moderate Republicans who had been pushing to go on the record about the subsidies. Johnson said at a press conference Tuesday that about a dozen Republican members in competitive districts are ""fighting hard to make sure that they reduce costs for all of their constituents."" ""Many of them did want to vote on this ObamaCare COVID-era subsidy the Democrats created,"" Johnson said. ""We looked for a way to try to allow for that pressure release valve, and it just was not to be.""",Center
"Susie Wiles, President Donald Trump's understated but influential chief of staff, criticized Attorney General Pam Bondi's handling of the Jeffrey Epstein case and offered an unvarnished take on her boss and those in his orbit in interviews published Tuesday in Vanity Fair that sent the West Wing into damage control.The startlingly candid remarks from Wiles, the first woman to ever hold her current post, included describing the president as someone with ""an alcoholic's personality,"" and Vice President JD Vance as a calculating ""conspiracy theorist."" The observations from Wiles, who rarely speaks publicly given the behind-the-scenes nature of her job running the White House, prompted questions about whether the chief of staff might be on her way out.",Left
"Erika Kirk, widow of conservative activist Charlie Kirk, and right-wing podcaster Candace Owens emerged from their lengthy meeting Monday describing the conversation as ""productive"" and suggesting tensions had eased.",Center
"Erika Kirk, the CEO of Turning Point USA (TPUSA) and the widow of conservative icon Charlie Kirk, and conservative commentator Candace Owens, have both revealed that they had a ""productive conversation"" with each other.",Right
"Mega billionaire Elon Musk, in a friendly interview with his aide and conservative influencer Katie Miller, said his efforts leading the Department of Government Efficiency were only ""somewhat successful"" and he would not do it over again.",Left
"Tech billionaire Elon Musk said his controversial Department of Government Efficiency (DOGE) was ""somewhat successful"" in a new podcast episode.",Center
"In a recent podcast interview, billionaire Elon Musk expressed mixed feelings about his time leading the Trump administration's Department of Government Efficiency (DOGE), suggesting he likely would not repeat the experience.",Right
Nick Fuentes hates women too much to ever get in bed with them.,Left
"Trump claimed prices are declining ""very substantially,"" adding, ""They always have a hoax. Their new word is affordability.""Trump did not elaborate who he was talking about, though in recent weeks he has pinned the term on Democrats, who campaigned on affordability ahead of a string of election victories across multiple states in November.""I can't say 'affordability hoax' because I agree the prices were too high,"" Trump said, before claiming the word ""affordability"" makes people believe ""Trump has high prices.""",Center
"President Donald Trump was in Pennsylvania Tuesday night touting his administration's economic success, after Democrats swept a series of elections in 2025 while mainly campaigning on platforms focused on ""affordability.""""They caused the high prices, and we're bringing them down,"" Trump told the crowd in attendance at a casino resort in Mount Pocono, Pennsylvania, whom he spoke to for nearly two hours. ""Lower prices, bigger paychecks – you're getting lower prices, bigger paychecks, we're getting inflation – we're crushing it – and you're getting much higher wages. The only thing that is really going up big – it's called the stock market and your 401ks.""Affordability has become a flashpoint heading into the midterms, with Republicans now fine-tuning their messaging on the economy after a slew of Democrats won elections in 2025 running on a platform focused on lowering costs. Prior to Tuesday night's address in Pennsylvania, Trump told Politico in an interview that he would give his economy an ""A-plus-plus-plus-plus-plus"" grade, but a November Fox News national survey found that some 76% of voters reported they view the economy negatively, up from the 67% who reported the same in July, and up from the 70% who said the same at the end of former President Joe Biden's term.",Right
